Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
3,4294967295,308,47,aclnnGroupedMatmulV5_GroupedMatmul_GroupedMatmul,GroupedMatmul,dynamic,MIX_AIC,1788186428022740.375	,42.280,1806.890000,20,20,NO,"""9216,2048;1,2048,7168;;1,7168;;;;1;9216""",INT8;INT8;INT32;DT_BF16;FLOAT;FLOAT16;FLOAT16;INT64;FLOAT,ND;NCL;ND;ND;ND;ND;ND;ND;ND,"""9216,7168""",DT_BF16,ND,0,30.081,992682,1.453,0.048,13.278,0.441,4.689,0.156,18.583,0.618,4.516,0.15,0.04,29.786,982950,0.205,0.007,4.078,0.137,1.992,0.067,0.184,0.006,0.127,71.148
3,4294967295,309,47,aclnnDynamicQuantV2_DynamicQuant_DynamicQuant,DynamicQuant,dynamic,AI_VECTOR_CORE,1788186428023412.095	,330.860,629.220000,40,0,NO,"""9216,7168""",DT_BF16,ND,"""9216,7168;9216""",INT8;FLOAT,ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.538,21287539,188.86,0.586,30.34,0.094,290.636,0.901,163.806,0.508,0.005,0.000
3,4294967295,310,47,clear_ops,clear_ops,dynamic,MIX_AIC,1788186428023744.375	,34.120,1.640000,20,40,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,31.852,1051108,0.0,0.0,4.687,0.147,0.001,0.0,0.001,0.0,0.001,0.0,0.129,31.749,2095422,0.008,0.0,3.916,0.123,0.001,0.0,0.001,0.0,0.148,93.352
3,4294967295,311,47,sk_placeholder_kernel_dav_2201,sk_placeholder_kernel_dav_2201,dynamic,AI_VECTOR_CORE,1788186428023779.515	,0.880,0.880000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.318,524,0.008,0.027,0.012,0.038,0.001,0.004,0.001,0.004,0.444,0.000
3,4294967295,312,47,sk_placeholder_kernel_dav_2201,sk_placeholder_kernel_dav_2201,dynamic,AI_VECTOR_CORE,1788186428023780.415	,0.760,0.120000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203,335,0.008,0.042,0.012,0.06,0.001,0.006,0.001,0.006,0.444,0.000
3,4294967295,313,47,sk_scope_kernel_end_dav_2201,sk_scope_kernel_end_dav_2201,dynamic,AI_VECTOR_CORE,1788186428023781.195	,0.840,0.000000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.253,417,0.008,0.034,0.015,0.058,0.001,0.005,0.001,0.005,0.5,0.000
3,4294967295,314,47,sk_scope_kernel_begin_dav_2201,sk_scope_kernel_begin_dav_2201,dynamic,AI_VECTOR_CORE,1788186428023782.055	,0.820,0.000000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.252,415,0.008,0.034,0.012,0.048,0.001,0.005,0.001,0.005,0.444,0.000
3,4294967295,315,47,sk_placeholder_kernel_dav_2201,sk_placeholder_kernel_dav_2201,dynamic,AI_VECTOR_CORE,1788186428023804.455	,0.820,21.680000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214,353,0.008,0.04,0.012,0.057,0.001,0.006,0.001,0.006,0.444,0.000
3,4294967295,316,47,sk_placeholder_kernel_dav_2201,sk_placeholder_kernel_dav_2201,dynamic,AI_VECTOR_CORE,1788186428023837.535	,0.820,32.180000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216,356,0.008,0.039,0.012,0.056,0.001,0.006,0.001,0.006,0.444,0.000
3,4294967295,317,47,aclnnGroupedMatmulV5_GroupedMatmul_GroupedMatmul,GroupedMatmul,dynamic,MIX_AIC,1788186428025551.555	,51.140,1713.180000,20,0,NO,"""9216,7168;1,7168,4096;;;;;;1""",INT8;INT8;INT32;UINT64;FLOAT;FLOAT16;FLOAT16;INT64,ND;NCL;ND;ND;ND;ND;ND;ND,"""9216,4096""",INT32,ND,0,38.707,1277332,2.905,0.075,9.112,0.235,9.372,0.242,32.161,0.831,2.46,0.064,0.023,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.688
