Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
3,sk_scope_kernel_end_dav_2201,AI_VECTOR_CORE,47,225,0.720,1788186427985625.335	,1788186427985626.055	
3,sk_scope_kernel_begin_dav_2201,AI_VECTOR_CORE,47,226,0.740,1788186427985626.095	,1788186427985626.835	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,227,0.720,1788186427985653.655	,1788186427985654.375	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,228,0.720,1788186427985691.035	,1788186427985691.755	
3,GroupedMatmul_073724674f6bc75efdc841276e0eb3cc_335741442,MIX_AIC,47,229,51.420,1788186427987314.475	,1788186427987365.895	
3,DequantSwigluQuant_int32_high_performance_100000000,AI_VECTOR_CORE,47,230,8.040,1788186427987495.735	,1788186427987503.775	
3,GroupedMatmul_7027ddb93c25b26c6a749b5e1bdcd245_34697052674,MIX_AIC,47,231,41.060,1788186427989327.955	,1788186427989369.015	
3,DynamicQuant_bf16_1_high_performance_10,AI_VECTOR_CORE,47,232,327.580,1788186427990028.735	,1788186427990356.315	
3,clear_ops,MIX_AIC,47,233,34.360,1788186427990357.815	,1788186427990392.175	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,234,0.820,1788186427990392.995	,1788186427990393.815	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,235,0.700,1788186427990393.835	,1788186427990394.535	
3,sk_scope_kernel_end_dav_2201,AI_VECTOR_CORE,47,236,0.740,1788186427990394.555	,1788186427990395.295	
3,sk_scope_kernel_begin_dav_2201,AI_VECTOR_CORE,47,237,0.740,1788186427990395.315	,1788186427990396.055	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,238,0.720,1788186427990421.815	,1788186427990422.535	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,239,0.720,1788186427990463.295	,1788186427990464.015	
3,GroupedMatmul_073724674f6bc75efdc841276e0eb3cc_335741442,MIX_AIC,47,240,49.060,1788186427992100.715	,1788186427992149.775	
3,DequantSwigluQuant_int32_high_performance_100000000,AI_VECTOR_CORE,47,241,8.200,1788186427992247.915	,1788186427992256.115	
3,GroupedMatmul_7027ddb93c25b26c6a749b5e1bdcd245_34697052674,MIX_AIC,47,242,38.820,1788186427994084.215	,1788186427994123.035	
3,DynamicQuant_bf16_1_high_performance_10,AI_VECTOR_CORE,47,243,331.700,1788186427994768.615	,1788186427995100.315	
3,clear_ops,MIX_AIC,47,244,33.060,1788186427995101.375	,1788186427995134.435	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,245,0.860,1788186427995135.315	,1788186427995136.175	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,246,0.720,1788186427995136.195	,1788186427995136.915	
3,sk_scope_kernel_end_dav_2201,AI_VECTOR_CORE,47,247,0.800,1788186427995136.935	,1788186427995137.735	
3,sk_scope_kernel_begin_dav_2201,AI_VECTOR_CORE,47,248,0.800,1788186427995137.755	,1788186427995138.555	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,249,0.780,1788186427995183.075	,1788186427995183.855	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,250,0.780,1788186427995224.055	,1788186427995224.835	
3,GroupedMatmul_073724674f6bc75efdc841276e0eb3cc_335741442,MIX_AIC,47,251,49.720,1788186427996838.575	,1788186427996888.295	
