Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclrtFree,2384.66,5,476.932,5.2,1057.9,170092.686
host,acl,aclrtFreeHost,6042.18,1500,4.028,3.12,25.88,1.304
host,acl,aclrtGetCurrentContext,22.42,1,22.42,22.42,22.42,0
host,acl,aclrtGetDeviceCount,10.87,2,5.435,4.48,6.39,0.912
host,acl,aclrtGetDeviceInfo,1472.07,102,14.432,11.88,46.12,15.148
host,acl,aclrtGetFunctionAttribute,761.59,1650,0.462,0.34,1.26,0.006
host,acl,aclrtGetFunctionName,513.79,1100,0.467,0.35,1.44,0.003
host,acl,aclrtGetHardwareSyncAddr,193.57,200,0.968,0.68,5.31,0.122
host,acl,aclrtGetResInCurrentThread,719.23,942,0.764,0.35,4.89,0.208
host,acl,aclrtGetStreamAttribute,351.31,421,0.834,0.52,13.27,0.472
host,acl,aclrtGetStreamResLimit,6.46,4,1.615,0.54,2.55,0.859
host,acl,aclrtLaunchKernelWithHostArgs,12337.82,1109,11.125,4.41,341.96,209.662
host,acl,aclrtMallocHost,6429.35,1500,4.286,2.96,20.17,3.134
host,acl,aclrtMemcpy,4731.96,301,15.721,14.08,44.04,6.236
host,acl,aclrtMemcpyAsync,92.87,7,13.267,8.98,31.01,54.534
host,acl,aclrtRandomNumAsync,277.07,7,39.581,29.71,64.72,144.678
host,acl,aclrtResetDevice,6.25,1,6.25,6.25,6.25,0
host,acl,aclrtSetDevice,89.2,1,89.2,89.2,89.2,0
host,acl,aclrtSetOpExecuteTimeOutV2,1345.98,2,672.99,124.61,1221.37,300720.624
host,acl,aclrtSetStreamAttribute,8.8,4,2.2,1.45,3.14,0.373
host,acl,aclrtSetStreamFailureMode,208.69,66,3.162,2.68,7.97,0.511
host,acl,aclrtSetStreamResLimit,2.71,2,1.355,0.69,2.02,0.442
host,acl,aclrtStreamGetId,241.72,550,0.439,0.39,1.2,0.002
host,acl,aclrtSynchronizeDeviceWithTimeout,45145.84,8,5643.23,15.31,22698.16,94520317.849
host,acl,aclrtSynchronizeStream,20.39,1,20.39,20.39,20.39,0
host,acl,aclrtSynchronizeStreamWithTimeout,18.06,1,18.06,18.06,18.06,0
host,acl,aclrtUseStreamResInCurrentThread,6.68,4,1.67,1.07,2.33,0.292
host,node,launch,45407.11,1116,40.687,8.68,420.28,940.415
