Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
3,4294967295,53,47,DequantSwigluQuant,DequantSwigluQuant,dynamic,AI_VECTOR_CORE,1788186117735128.915	,9.240,96.760000,36,0,NO,"""9216,4096;1,4096;9216;;1,2048;;1""",INT32;FLOAT;FLOAT;DT_UNDEFINED;FLOAT;DT_UNDEFINED;INT64,ND;ND;ND;NULL;ND;NULL;ND,"""9216,2048;9216""",INT8;FLOAT,ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.443,323301,0.057,0.01,1.811,0.333,0.703,0.129,0.005,0.001,0.186,0.000
3,4294967295,54,47,aclnnGroupedMatmulV5_GroupedMatmul_GroupedMatmul,GroupedMatmul,dynamic,MIX_AIC,1788186117737058.115	,42.220,1919.760000,20,20,NO,"""9216,2048;1,2048,7168;;1,7168;;;;1;9216""",INT8;INT8;INT32;DT_BF16;FLOAT;FLOAT16;FLOAT16;INT64;FLOAT,ND;NCL;ND;ND;ND;ND;ND;ND;ND,"""9216,7168""",DT_BF16,ND,0,31.573,1041917,1.453,0.046,14.368,0.455,4.689,0.149,18.993,0.602,4.796,0.152,0.037,31.255,1031427,0.197,0.006,5.252,0.168,2.574,0.082,0.176,0.006,0.126,74.783
3,4294967295,55,47,aclnnDynamicQuantV2_DynamicQuant_DynamicQuant,DynamicQuant,dynamic,AI_VECTOR_CORE,1788186117737770.155	,329.140,670.030000,40,0,NO,"""9216,7168""",DT_BF16,ND,"""9216,7168;9216""",INT8;FLOAT,ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.875,21309770,188.859,0.585,30.078,0.093,290.311,0.899,154.229,0.478,0.005,0.000
3,4294967295,56,47,clear_ops,clear_ops,dynamic,MIX_AIC,1788186117738100.815	,29.600,1.360000,20,40,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,27.376,903402,0.0,0.0,4.639,0.169,0.001,0.0,0.001,0.0,0.001,0.0,0.129,27.276,1800203,0.008,0.0,3.851,0.141,0.001,0.0,0.001,0.0,0.149,92.486
3,4294967295,57,47,aclnnGroupedMatmulV5_GroupedMatmul_GroupedMatmul,GroupedMatmul,dynamic,MIX_AIC,1788186117739618.995	,51.640,1488.650000,20,0,NO,"""9216,7168;1,7168,4096;;;;;;1""",INT8;INT8;INT32;UINT64;FLOAT;FLOAT16;FLOAT16;INT64,ND;NCL;ND;ND;ND;ND;ND;ND,"""9216,4096""",INT32,ND,0,38.117,1257873,2.905,0.076,8.795,0.231,9.37,0.246,32.338,0.848,2.492,0.065,0.022,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.814
3,4294967295,58,47,DequantSwigluQuant,DequantSwigluQuant,dynamic,AI_VECTOR_CORE,1788186117739779.755	,7.740,109.110000,36,0,NO,"""9216,4096;1,4096;9216;;1,2048;;1""",INT32;FLOAT;FLOAT;DT_UNDEFINED;FLOAT;DT_UNDEFINED;INT64,ND;ND;ND;NULL;ND;NULL;ND,"""9216,2048;9216""",INT8;FLOAT,ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.652,276326,0.057,0.012,1.248,0.268,0.381,0.082,0.005,0.001,0.188,0.000
3,4294967295,59,47,aclnnGroupedMatmulV5_GroupedMatmul_GroupedMatmul,GroupedMatmul,dynamic,MIX_AIC,1788186117741715.795	,40.620,1928.260000,20,20,NO,"""9216,2048;1,2048,7168;;1,7168;;;;1;9216""",INT8;INT8;INT32;DT_BF16;FLOAT;FLOAT16;FLOAT16;INT64;FLOAT,ND;NCL;ND;ND;ND;ND;ND;ND;ND,"""9216,7168""",DT_BF16,ND,0,29.583,976242,1.453,0.049,12.816,0.433,4.69,0.159,18.606,0.629,4.792,0.162,0.041,29.284,966369,0.204,0.007,4.644,0.159,1.801,0.061,0.181,0.006,0.125,72.829
3,4294967295,60,47,aclnnDynamicQuantV2_DynamicQuant_DynamicQuant,DynamicQuant,dynamic,AI_VECTOR_CORE,1788186117742413.155	,330.980,656.880000,40,0,NO,"""9216,7168""",DT_BF16,ND,"""9216,7168;9216""",INT8;FLOAT,ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.267,21401616,188.857,0.582,30.074,0.093,291.656,0.899,161.469,0.498,0.005,0.000
3,4294967295,61,47,clear_ops,clear_ops,dynamic,MIX_AIC,1788186117742745.475	,29.720,1.270000,20,40,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,27.48,906833,0.0,0.0,4.581,0.167,0.001,0.0,0.001,0.0,0.001,0.0,0.126,27.378,1806955,0.008,0.0,3.814,0.139,0.001,0.0,0.001,0.0,0.148,92.462
3,4294967295,62,47,aclnnGroupedMatmulV5_GroupedMatmul_GroupedMatmul,GroupedMatmul,dynamic,MIX_AIC,1788186117744240.555	,52.480,1465.280000,20,0,NO,"""9216,7168;1,7168,4096;;;;;;1""",INT8;INT8;INT32;UINT64;FLOAT;FLOAT16;FLOAT16;INT64,ND;NCL;ND;ND;ND;ND;ND;ND,"""9216,4096""",INT32,ND,0,38.021,1254681,2.905,0.076,9.144,0.241,9.379,0.247,32.176,0.846,2.448,0.064,0.022,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.448
