Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
3,static_kernel_DynamicQuant_3f3823604c7b850b2738d07cb0d129927f7c09376c436c3c4b7b457502b5435f_2478629_d0__kernel0,AI_VECTOR_CORE,12,43,330.160,1788186149720186.295	,1788186149720516.455	
3,clear_ops,MIX_AIC,12,44,27.980,1788186149720517.915	,1788186149720545.895	
3,static_kernel_GroupedMatmul_c82fe246f0843d6ddf904011e48a066257c9620090b5c755dc35ea4e8ca71409_2478629_d0,MIX_AIC,12,45,49.920,1788186149720548.895	,1788186149720598.815	
3,static_kernel_DequantSwigluQuant_1147b81e175d34d10821636ee978003d202532bd71b04cbcef6dda7cca3a60c9_2478629_d0__kernel0,AI_VECTOR_CORE,12,46,7.660,1788186149720599.855	,1788186149720607.515	
3,static_kernel_GroupedMatmul_5db5b7a9271416eb4e0c9f9f61b4869ef629dd312f49398f079aad144477c151_2478629_d0,MIX_AIC,12,47,34.000,1788186149720608.875	,1788186149720642.875	
3,static_kernel_DynamicQuant_3f3823604c7b850b2738d07cb0d129927f7c09376c436c3c4b7b457502b5435f_2478629_d0__kernel0,AI_VECTOR_CORE,12,48,331.580,1788186149720644.035	,1788186149720975.615	
3,clear_ops,MIX_AIC,12,49,27.980,1788186149720976.975	,1788186149721004.955	
3,static_kernel_GroupedMatmul_c82fe246f0843d6ddf904011e48a066257c9620090b5c755dc35ea4e8ca71409_2478629_d0,MIX_AIC,12,50,51.220,1788186149721007.915	,1788186149721059.135	
3,static_kernel_DequantSwigluQuant_1147b81e175d34d10821636ee978003d202532bd71b04cbcef6dda7cca3a60c9_2478629_d0__kernel0,AI_VECTOR_CORE,12,51,7.860,1788186149721060.055	,1788186149721067.915	
3,static_kernel_GroupedMatmul_5db5b7a9271416eb4e0c9f9f61b4869ef629dd312f49398f079aad144477c151_2478629_d0,MIX_AIC,12,52,37.340,1788186149721069.075	,1788186149721106.415	
3,static_kernel_DynamicQuant_3f3823604c7b850b2738d07cb0d129927f7c09376c436c3c4b7b457502b5435f_2478629_d0__kernel0,AI_VECTOR_CORE,12,53,332.880,1788186149721107.295	,1788186149721440.175	
3,clear_ops,MIX_AIC,12,54,28.180,1788186149721441.075	,1788186149721469.255	
3,static_kernel_GroupedMatmul_c82fe246f0843d6ddf904011e48a066257c9620090b5c755dc35ea4e8ca71409_2478629_d0,MIX_AIC,12,55,52.220,1788186149721472.055	,1788186149721524.275	
3,static_kernel_DequantSwigluQuant_1147b81e175d34d10821636ee978003d202532bd71b04cbcef6dda7cca3a60c9_2478629_d0__kernel0,AI_VECTOR_CORE,12,56,7.660,1788186149721525.095	,1788186149721532.755	
3,static_kernel_GroupedMatmul_5db5b7a9271416eb4e0c9f9f61b4869ef629dd312f49398f079aad144477c151_2478629_d0,MIX_AIC,12,57,35.040,1788186149721534.035	,1788186149721569.075	
3,static_kernel_DynamicQuant_3f3823604c7b850b2738d07cb0d129927f7c09376c436c3c4b7b457502b5435f_2478629_d0__kernel0,AI_VECTOR_CORE,12,58,331.280,1788186149721569.815	,1788186149721901.095	
3,clear_ops,MIX_AIC,12,59,27.540,1788186149721902.255	,1788186149721929.795	
3,static_kernel_GroupedMatmul_c82fe246f0843d6ddf904011e48a066257c9620090b5c755dc35ea4e8ca71409_2478629_d0,MIX_AIC,12,60,50.820,1788186149721932.615	,1788186149721983.435	
3,static_kernel_DequantSwigluQuant_1147b81e175d34d10821636ee978003d202532bd71b04cbcef6dda7cca3a60c9_2478629_d0__kernel0,AI_VECTOR_CORE,12,61,7.680,1788186149721984.175	,1788186149721991.855	
3,static_kernel_GroupedMatmul_5db5b7a9271416eb4e0c9f9f61b4869ef629dd312f49398f079aad144477c151_2478629_d0,MIX_AIC,12,62,34.440,1788186149721993.215	,1788186149722027.655	
3,static_kernel_DynamicQuant_3f3823604c7b850b2738d07cb0d129927f7c09376c436c3c4b7b457502b5435f_2478629_d0__kernel0,AI_VECTOR_CORE,12,63,331.480,1788186149722028.375	,1788186149722359.855	
3,clear_ops,MIX_AIC,12,64,28.780,1788186149722361.275	,1788186149722390.055	
3,static_kernel_GroupedMatmul_c82fe246f0843d6ddf904011e48a066257c9620090b5c755dc35ea4e8ca71409_2478629_d0,MIX_AIC,12,65,50.820,1788186149722392.895	,1788186149722443.715	
3,static_kernel_DequantSwigluQuant_1147b81e175d34d10821636ee978003d202532bd71b04cbcef6dda7cca3a60c9_2478629_d0__kernel0,AI_VECTOR_CORE,12,66,7.800,1788186149722444.415	,1788186149722452.215	
