Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
3,DynamicQuant,AI_VECTOR_CORE,150,49802.98,324.66,332.019,358.74,67.542
3,GroupedMatmul,MIX_AIC,300,13287.8,23.66,44.292,55.5,18.021
3,clear_ops,MIX_AIC,150,4373.84,26.96,29.158,32.18,5.932
3,DSARandomUniform,DSA_SQE,7,4167.06,1.54,595.294,2774.68,5.651
3,DequantSwigluQuant,AI_VECTOR_CORE,150,1245.02,7.16,8.3,14,1.688
3,Cast,AI_VECTOR_CORE,2,440.96,117.62,220.48,323.34,0.598
3,TensorMove,AI_VECTOR_CORE,2,367.04,181.34,183.52,185.7,0.498
3,OnesLike,AI_VECTOR_CORE,1,38.98,38.98,38.98,38.98,0.053
3,Fill,AI_VECTOR_CORE,4,12.12,1.7,3.03,3.92,0.016
